Duration,Protocol,SourceIP,DestinationIP,SourcePort,DestinationPort,PacketCount,ByteCount,Label
24.07774941456343,TCP,192.168.1.239,192.168.1.234,8055,1,827,198244,Attack
97.2523835323651,ICMP,192.168.1.176,192.168.1.82,63174,687,673,1202973,Normal
85.84265356551866,TCP,192.168.1.120,192.168.1.113,30873,570,319,984671,Attack
79.1969912938061,UDP,192.168.1.212,192.168.1.140,4410,683,375,36284,Normal
34.92801848791397,TCP,192.168.1.17,192.168.1.223,4702,989,465,817463,Normal
31.135166433848138,TCP,192.168.1.141,192.168.1.233,49643,328,766,47409,Attack
22.896529690876356,TCP,192.168.1.86,192.168.1.219,52005,571,361,526498,Attack
29.76814924256834,UDP,192.168.1.163,192.168.1.238,20260,312,709,1159755,Normal
65.64680341959848,TCP,192.168.1.235,192.168.1.62,4393,767,105,186558,Attack
22.845303299081564,TCP,192.168.1.130,192.168.1.183,15310,620,224,560158,Attack
63.53010870049537,UDP,192.168.1.129,192.168.1.20,32048,610,491,119875,Normal
9.027575338100258,ICMP,192.168.1.90,192.168.1.23,65017,72,33,852745,Normal
16.917425869539482,ICMP,192.168.1.255,192.168.1.77,29712,859,254,119942,Normal
79.03652648104747,UDP,192.168.1.40,192.168.1.110,10135,6,143,378711,Attack
85.54499163514674,TCP,192.168.1.198,192.168.1.45,58469,447,639,1478921,Attack
43.120545570534844,ICMP,192.168.1.124,192.168.1.204,53868,667,15,814764,Normal
59.358007036291205,UDP,192.168.1.79,192.168.1.206,8615,828,958,352053,Attack
13.61319249567724,ICMP,192.168.1.224,192.168.1.209,45050,91,906,1102961,Normal
47.62954455454231,ICMP,192.168.1.174,192.168.1.52,22475,40,105,422057,Normal
0.5628754616562759,ICMP,192.168.1.8,192.168.1.116,40413,300,808,588809,Normal
8.78620201090996,UDP,192.168.1.120,192.168.1.216,36125,521,615,398001,Normal
25.146316381757792,TCP,192.168.1.246,192.168.1.233,64751,746,743,755127,Normal
73.54423400155792,UDP,192.168.1.33,192.168.1.142,13271,776,767,75819,Attack
78.11039849027794,TCP,192.168.1.168,192.168.1.24,10306,111,802,819088,Attack
91.52686467578516,ICMP,192.168.1.105,192.168.1.11,34664,31,240,1434220,Normal
17.900685830323383,TCP,192.168.1.183,192.168.1.127,41171,116,795,660728,Normal
42.271491561748064,UDP,192.168.1.169,192.168.1.49,32759,757,439,887414,Normal
60.3943557933089,TCP,192.168.1.202,192.168.1.20,23290,443,775,1365257,Normal
63.47875202323363,TCP,192.168.1.74,192.168.1.83,26571,877,667,1409057,Attack
81.61499898321921,UDP,192.168.1.64,192.168.1.110,4201,73,603,607802,Normal
83.23113266267876,ICMP,192.168.1.118,192.168.1.155,30451,300,986,1443795,Attack
75.40006971882207,UDP,192.168.1.74,192.168.1.61,37842,615,963,593070,Normal
73.42457827915838,TCP,192.168.1.97,192.168.1.124,64008,690,195,86189,Normal
19.865290702574356,UDP,192.168.1.167,192.168.1.253,10170,967,675,472422,Normal
99.99338936170736,TCP,192.168.1.49,192.168.1.239,13237,174,795,1442687,Attack
90.55038025776557,TCP,192.168.1.190,192.168.1.254,15483,685,535,353068,Attack
23.105720838844668,UDP,192.168.1.201,192.168.1.92,47774,255,123,784528,Normal
39.211018094318284,TCP,192.168.1.206,192.168.1.2,32060,923,722,1160339,Normal
87.661541795405,TCP,192.168.1.116,192.168.1.226,3101,559,174,1248806,Attack
30.79382131425885,UDP,192.168.1.238,192.168.1.4,32944,789,953,1300979,Attack
70.92221610410824,TCP,192.168.1.50,192.168.1.233,23825,558,299,915940,Attack
64.7617185649017,ICMP,192.168.1.223,192.168.1.217,64367,273,776,653381,Attack
18.036209402698955,TCP,192.168.1.117,192.168.1.152,1801,582,697,850734,Normal
94.60406273574645,TCP,192.168.1.186,192.168.1.141,21162,746,123,1268676,Attack
31.490511369662265,TCP,192.168.1.182,192.168.1.90,39175,705,533,489356,Normal
29.958655970735826,TCP,192.168.1.39,192.168.1.173,39935,593,504,392429,Attack
58.65813737757441,TCP,192.168.1.230,192.168.1.115,24026,345,328,260969,Attack
43.010722322395765,UDP,192.168.1.128,192.168.1.13,32566,717,466,1011359,Normal
80.12397803722627,UDP,192.168.1.23,192.168.1.145,18020,754,335,1076786,Attack
25.669627696887034,UDP,192.168.1.109,192.168.1.6,40507,613,677,429057,Attack
70.51040544818767,TCP,192.168.1.183,192.168.1.152,19024,539,349,9996,Normal
19.36591771863968,ICMP,192.168.1.99,192.168.1.250,29490,989,917,520711,Attack
24.27338977784811,TCP,192.168.1.230,192.168.1.127,25177,359,275,269092,Normal
90.01117695233886,ICMP,192.168.1.74,192.168.1.109,3418,794,854,1009641,Normal
98.2480775972188,TCP,192.168.1.81,192.168.1.43,53880,38,509,1204862,Attack
89.81496987276839,UDP,192.168.1.41,192.168.1.54,64606,675,38,1416953,Attack
40.770437036348625,ICMP,192.168.1.15,192.168.1.76,18162,701,691,246471,Attack
71.8671056548263,UDP,192.168.1.37,192.168.1.251,15552,782,229,627702,Normal
99.23070935695173,ICMP,192.168.1.255,192.168.1.238,21179,391,31,476087,Attack
33.90113190392743,ICMP,192.168.1.186,192.168.1.48,14815,1016,639,635389,Normal
44.66181944888253,TCP,192.168.1.226,192.168.1.156,12616,963,125,1375964,Attack
56.53371218233395,UDP,192.168.1.200,192.168.1.128,32263,314,574,69447,Attack
33.826506272403854,TCP,192.168.1.41,192.168.1.136,34647,500,32,1074284,Normal
6.1715461236897635,ICMP,192.168.1.42,192.168.1.134,39814,960,46,1063937,Attack
7.5696961582102045,TCP,192.168.1.44,192.168.1.190,29300,645,909,1453734,Normal
99.49754593731359,UDP,192.168.1.13,192.168.1.138,14708,567,228,494833,Normal
48.26344395708798,UDP,192.168.1.139,192.168.1.57,26762,247,368,262025,Normal
59.470507030966026,TCP,192.168.1.122,192.168.1.216,58357,346,339,1211901,Attack
